"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Lifetime: The number of people who saw your Page post. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Wall. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - comment","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - like","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users) - share","Lifetime: The number of stories created about your Page post, by action type. (Total Count) - comment","Lifetime: The number of stories created about your Page post, by action type. (Total Count) - like","Lifetime: The number of stories created about your Page post, by action type. (Total Count) - share","Lifetime: The number of people who clicked anywhere in your post. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users)","Lifetime: The number of clicks anywhere in your post. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - link clicks","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - other clicks","Lifetime: The number of people who clicked anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Unique Users) - photo view","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - link clicks","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - other clicks","Lifetime: The number of clicks anywhere in your post, by type. Clicks generating stories are included in &quot;Other Clicks.&quot; (Total Count) - photo view","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users) - xbutton_clicks","Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count) - xbutton_clicks","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)"
123997660997434_621208247943037,https://www.facebook.com/photo.php?fbid=621208124609716&amp;set=a.348070101923521.82484.123997660997434&amp;type=1,"TAPpy Holidays!!!!!!!",Photo,,,"12/18/2013 09:41:15 PM",23,23,0,35,35,0,4,,,,,,,4,5,,4,,,5,,0,0,,,17,11,0,0,2
123997660997434_620426171354578,https://www.facebook.com/photo.php?fbid=620373064693222&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"TAP wants your feedback! Take a few minutes to share your opinion with us for a chance to win a $50 Amazon Gift Card! https://docs.google.com/forms/d/1ltKtuG8nZkyNLe61zLSTsvkLpxqlIO0jOhOBM2DP3gk/viewform",Photo,,,"12/17/2013 04:00:01 AM",86,86,0,221,221,0,7,,,,,,,7,9,2,4,2,2,4,3,0,0,,,196,69,0,0,6
123997660997434_619819878081874,https://www.facebook.com/tapny/posts/619819878081874,"There are still spots open for the co-ed TAP flag football winter league!  Please email joanne.hong@tap-ny.org if you're interested and want more details.  Deadline for registration is Friday, Dec. 20th.  You don't want to miss out on another awesome season!!!","Status Update",,,"12/15/2013 07:15:03 PM",307,307,0,698,698,0,4,,,,,,,4,5,,4,,,5,,0,0,,,666,288,0,0,4
123997660997434_619557088108153,https://www.facebook.com/photo.php?fbid=619557074774821&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"Poker Tournament twinsies: TAPpy wardrobe coordination",Photo,,,"12/15/2013 07:41:21 AM",124,124,0,269,269,0,10,,2,,,2,,8,12,,5,5,,5,7,0,0,,,237,105,0,0,8
123997660997434_618150561582139,https://www.facebook.com/tapny/posts/618150561582139,"It's the holiday season! What better way to be thankful for all you have than donating to charity while playing poker for a chance to win PS4! Buy-in now for a good cause: http://pokerroyale.eventbrite.com/?aff=tapny",Link,,,"12/12/2013 07:58:20 PM",88,88,0,213,213,0,5,,,,,,,5,6,,5,,,6,,0,0,,,173,65,0,0,4
123997660997434_616741251723070,https://www.facebook.com/tapny/posts/616741251723070,"Thinking about a career makeover? We have the perfect event for you tonight, check out details at the link below!

http://www.3wcircle.com/events/",Link,,,"12/10/2013 11:16:08 AM",144,144,0,427,427,0,5,,,,,,,5,6,3,2,,3,3,,0,0,,,387,123,0,0,5
123997660997434_616425688421293,https://www.facebook.com/tapny/posts/616425688421293,"Show off your poker skills for a chance to win some great prizes and most importantly, donate to a great cause! AAFH, TAP, and Prestigious Models will host Poker Royale this Saturday!",Link,,,"12/09/2013 07:35:02 PM",191,191,0,471,471,0,13,1,1,,1,1,,12,14,2,10,,2,12,,0,0,,,434,170,0,0,9
123997660997434_614746381922557,https://www.facebook.com/tapny/posts/614746381922557,"Love free food? We do! Grab a free burger or noodle dish at the grand opening of Xi'an Famous Foods in the UWS tomorrow! Details at the link below.

https://www.facebook.com/xianfamousfoods?sk=app_190322544333196&amp;app_data",Link,,,"12/06/2013 01:00:01 PM",78,78,0,237,237,0,3,,,,,,,3,5,,3,,,5,,0,0,,,194,56,0,0,3
123997660997434_613758488688013,https://www.facebook.com/tapny/posts/613758488688013,"Enter for a chance to win a trip to Silicon Valley, where you’ll tour tech giants Facebook, Google, Twitter and Airbnb, meet with hiring managers, grab coffee with industry experts, and get insider access to one of the country's top startup hubs!
https://generalassemb.ly/win/break-into-the-big-leagues/1?rid=dmNsZWU4NkBnbWFpbC5jb20",Link,,,"12/04/2013 06:49:44 AM",141,141,0,364,364,0,15,,1,,,1,,15,19,4,13,,5,14,,0,0,,,323,119,0,0,12
123997660997434_613532225377306,https://www.facebook.com/tapny/posts/613532225377306,"Feeling lucky? Feeling charitable? On December 14th we'll partner with AAFH in a charity poker tournament for the American Cancer Society. Good prizes and good fun so don't miss out if you're feeling lucky!",Link,,,"12/03/2013 05:54:21 PM",138,138,0,374,374,0,8,,3,2,,3,2,6,6,,6,,,6,,0,0,,,332,111,0,0,8
123997660997434_610759658987896,https://www.facebook.com/photo.php?fbid=610759652321230&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"Happy Thanksgiving TAP-ers! We hope you have a wonderful holiday with your family and friends =)",Photo,,,"11/28/2013 08:54:32 AM",175,175,0,379,379,0,14,,4,,,5,,10,17,,4,7,,4,13,0,0,,,321,142,0,0,12
123997660997434_608940222503173,https://www.facebook.com/tapny/posts/608940222503173,"Enjoy a free upgrade at Kung Fu Tea this Thanksgiving!",Photo,,,"11/25/2013 02:02:44 PM",103,103,0,267,267,0,3,,,,,,,3,5,,3,1,,4,1,0,0,,,210,69,0,0,3
123997660997434_608348645895664,https://www.facebook.com/photo.php?fbid=608348629228999&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"Yum! We made 雞捲 from scratch at yesterday's cooking workshop. Thanks everyone for coming out!",Photo,,,"11/24/2013 10:45:00 AM",194,194,0,494,494,0,14,1,,,1,,,13,29,,8,7,,18,11,0,0,,,439,158,0,0,11
123997660997434_608082432588952,https://www.facebook.com/photo.php?fbid=608082422588953&amp;set=a.399211906809340.93465.123997660997434&amp;type=1,"TAP represents at Prime Produce Prom 2013!",Photo,,,"11/23/2013 09:31:13 PM",188,188,0,428,428,0,13,,3,,,3,,10,16,,3,8,,3,13,0,0,,,372,152,0,0,10
123997660997434_607557325974796,https://www.facebook.com/tapny/posts/607557325974796,"Hey TAP-ers, looking for a way to help out post typhoon? Come out to this fundraising brunch this Sunday 11/24 to do good while chowing down on some great food!",Photo,,,"11/22/2013 08:48:30 PM",121,121,0,251,251,0,4,,,,,,,4,4,,4,,,4,,0,0,,,198,87,0,0,2
123997660997434_607038769359985,https://www.facebook.com/tapny/posts/607038769359985,"Check out this breathtaking trailer for &quot;Beyond Beauty (看見台灣)&quot; a documentary showcasing Taiwan's scenery captured from above. 

It has been nominated for the Golden Horse Awards 金馬獎 for Best Documentary and Best Original Film Score. http://www.youtube.com/watch?v=dZ5-RcVIizU&amp;feature=youtu.be",Video,,,"11/21/2013 07:28:28 PM",204,204,0,437,437,0,12,,2,,,2,,12,16,,12,,,16,,0,0,,,381,171,0,0,12
123997660997434_606431412754054,https://www.facebook.com/tapny/posts/606431412754054,"Taiwanese bands will light up the stage this Saturday at the Hello Taiwan Concert and Fundraiser for Typhoon Haiyan victims. Special guest performer: Izzy, winner of Kollaboration New York. More details from AsianinNY.com here!",Link,,,"11/20/2013 01:50:03 PM",238,238,0,563,563,0,14,1,4,,1,4,,12,18,1,11,,1,17,,0,0,,,512,199,0,0,12
123997660997434_606402566090272,https://www.facebook.com/photo.php?fbid=606402196090309&amp;set=a.606402552756940.1073741842.123997660997434&amp;type=1,"Taiwan is taking over Times Square!! Ads are running on the Thomson Reuters and Nasdaq displays thru New Year's!",Photo,,,"11/20/2013 12:22:48 PM",466,466,0,1006,1006,0,65,,22,1,,23,3,53,100,,25,46,,35,65,0,0,,,596,267,0,0,48
123997660997434_606040469459815,https://www.facebook.com/tapny/posts/606040469459815,"Join the Taipei Economic and Cultural Office (TECO) tomorrow afternoon at the launch of their Times Square Big Screen Campaign! To promote Taiwan, Taiwan Tourism Bureau will run an advertising campaign at Times Square starting 11/20, to widely target tourists from all over the world. Food and beverage provided. For more info and to RSVP, email sashatbrocnyc@gmail.com!","Status Update",,,"11/19/2013 05:43:50 PM",436,436,0,947,947,0,13,,5,,,5,,12,16,,12,,,16,,0,0,,,860,377,0,0,13
123997660997434_606028089461053,https://www.facebook.com/media/set/?set=a.606024852794710.1073741841.123997660997434&amp;type=1,"We mixed it up this month with an exclusive Jazz Networking Evening: Une Soirée. This limited-attendance event featured programming to facilitate conversations in a smaller, more intimate setting and an amazing jazz band for a swanky evening!  How do you get invited?  Talk to one of our Board members...",Photo,,,"11/19/2013 04:55:37 PM",2594,2594,0,6204,6204,0,909,6,24,,8,25,,905,10937,,440,841,,818,10119,0,0,,,756,314,0,0,125
123997660997434_605479252849270,https://www.facebook.com/tapny/posts/605479252849270,"Want to relive (or redo) your high school prom, complete with spiked punch, Prom photos, and slow jams? Join TAP at Prime Produce Prom this Saturday, net proceeds will go towards supporting your favorite non-profit! https://www.facebook.com/events/183751665146775","Status Update",,,"11/18/2013 06:15:49 PM",380,380,0,873,873,0,10,,1,,,1,,10,12,,10,,,12,,0,0,,,789,316,0,0,10
